Month,.MMAX,.MMIN,..TMRF,.RH -0830,.RH -1730,dengue
1/1/2010,29,13.7,1.5,57,32,21
1/2/2010,32,15.9,0,52,26,15
1/3/2010,38.1,21.5,0,51,19,24
1/4/2010,41.7,25.9,0,56,22,45
1/5/2010,43.8,28.8,0,58,18,28
1/6/2010,39.9,28.6,62.1,69,39,35
1/7/2010,33.9,26.2,417,86,72,34
1/8/2010,32.8,25.8,534.3,90,76,90
1/9/2010,33.4,25.3,112,85,68,203
1/10/2010,35.8,23.5,8.8,67,44,259
1/11/2010,31.1,20.3,31.1,71,57,68
1/12/2010,28.2,12.9,1.7,69,45,52
1/13/2010,30.8,13.3,0,51,26,1
1/14/2010,33,15.1,0,48,22,0
1/15/2010,38.8,20.7,0,48,18,7
1/16/2010,41.9,24.8,0,53,18,5
1/17/2010,42.8,26.8,0,63,22,3
1/18/2010,38.5,27,56.3,64,46,2
1/19/2010,32.6,25.3,283.3,81,75,0
1/20/2010,31.3,24.6,235.4,83,76,1
1/21/2010,31.7,23.8,172,80,68,4
1/22/2010,35.6,22.6,3.6,71,43,5
1/23/2010,31.1,20.3,83.5,67,52,2
1/24/2010,28.8,12,0,54,32,1
1/25/2010,28.9,14.6,0.8,57,34,23
1/26/2010,31.2,16.8,0,47,26,22
1/27/2010,36.5,21.6,0,46,25,11
1/28/2010,39.9,24.5,0,43,25,8
1/29/2010,41.7,27.8,0,57,30,10
1/30/2010,37.9,27.1,106.5,72,55,7
1/31/2010,33.8,25.3,220.6,84,75,1
2/1/2010,32.4,24.9,124.8,86,77,14
2/2/2010,33,24.2,282.6,84,70,45
2/3/2010,35,23.6,0.1,72,47,57
2/4/2010,31.3,20.9,60.2,77,57,75
2/5/2010,28,14.1,0,69,43,14
2/6/2010,28.2,14,0.3,61,23,0
2/7/2010,31,15.8,0,65,20,0
2/8/2010,37.2,21.8,0,70,22,0
2/9/2010,40.2,24.5,0,74,26,0
2/10/2010,41,26.9,0.3,74,35,1
2/11/2010,38.3,27.8,59.5,74,47,0
2/12/2010,33.6,26.3,294.1,86,73,0
2/13/2010,32,25.2,393.2,90,78,0
2/14/2010,33,24.4,128.3,87,65,2
2/15/2010,37,24,0,76,38,12
2/16/2010,30.2,19.2,157,76,55,9
2/17/2010,27.4,12.6,0,67,31,1
2/18/2010,27.6,16.3,1.1,75,49,0
2/19/2010,27.3,18,0,84,68,1
2/20/2010,29.9,23.1,0,88,79,0
2/21/2010,31.5,25.7,0,91,84,0
2/22/2010,32.9,27.5,0,87,80,0
2/23/2010,33.3,28.1,77.1,83,76,1
2/24/2010,31.2,26.5,504.8,87,84,0
2/25/2010,30.2,25.5,387.3,89,84,1
2/26/2010,30.4,25.1,277.4,89,81,9
2/27/2010,33,25.1,0,82,75,7
2/28/2010,30.8,21.2,42.4,83,69,8
3/1/2010,27.6,15.7,0,78,52,0
3/2/2010,30.3,15.6,0,73,47,0
3/3/2010,30.5,16.3,0,73,46,0
3/4/2010,34.9,21.1,0,74,50,0
3/5/2010,35.1,24.4,0,82,58,0
3/6/2010,35.3,27.3,0,79,68,0
3/7/2010,35,28.7,40.7,80,72,0
3/8/2010,31.8,26.6,643.8,92,87,1
3/9/2010,30.6,26.1,483.7,90,85,1
3/10/2010,31.4,25.7,310.2,90,79,0
3/11/2010,34.4,25.3,18.7,80,61,4
3/12/2010,31.4,22.3,72.5,75,61,0
3/13/2010,28.6,15.3,0,76,46,0
3/14/2010,29.7,13.4,0,64,32,4
3/15/2010,32.2,15.3,0,61,21,3
3/16/2010,38.1,20.8,0,66,17,5
3/17/2010,41.4,24.1,0,72,17,24
3/18/2010,42.6,26.1,0,76,24,9
3/19/2010,38.8,26.5,100,81,50,6
3/20/2010,32.6,24.7,530.6,91,81,8
3/21/2010,32,24.3,496.3,92,85,13
3/22/2010,32.4,24,247.8,90,70,42
3/23/2010,36.3,23.1,13.6,77,40,98
3/24/2010,31.3,19.2,118.2,76,55,64
3/25/2010,28.5,12.2,0,72,35,8
3/26/2010,31.1,16.4,2.8,71,39,23
3/27/2010,32.1,17.9,0.1,69,37,8
3/28/2010,36.2,21.7,0,71,38,11
3/29/2010,37.1,25.5,0,72,47,7
3/30/2010,37.4,28.3,0,70,58,10
3/31/2010,34.4,27.9,125,81,72,17
4/1/2010,31.5,26,441.3,90,85,38
4/2/2010,30.7,26.2,358.8,90,84,74
4/3/2010,31.5,25.6,461.9,89,77,100
4/4/2010,33.8,24.2,187.2,85,65,161
4/5/2010,32.6,22.5,32.6,82,66,74
4/6/2010,29.2,15.5,0,78,50,45
4/7/2010,30.6,14.9,0,69,38,4
4/8/2010,32.7,17.2,0,64,33,4
4/9/2010,38,21.9,0,63,30,0
4/10/2010,41,26,0,61,25,7
4/11/2010,42.4,29,0,67,31,3
4/12/2010,38.7,28.4,9.6,75,47,1
4/13/2010,33,26.3,451.7,88,78,3
4/14/2010,31.8,25.9,522,91,79,5
4/15/2010,33,25.7,283.8,87,71,29
4/16/2010,36.4,24.9,0,75,49,44
4/17/2010,33.1,21.5,23.3,80,60,23
4/18/2010,29.5,14.4,0,79,49,7
4/19/2010,32.1,15.3,0,73,46,5
4/20/2010,31.9,16.2,0,70,48,3
4/21/2010,34.6,19.5,0,69,49,0
4/22/2010,35.9,23.1,0,69,56,0
4/23/2010,36.1,25.6,0,69,60,1
4/24/2010,34.2,25.1,120.5,78,73,3
4/25/2010,31.2,23.7,774,87,83,7
4/26/2010,30.3,23.5,786,90,85,6
4/27/2010,31.7,23,594,88,80,5
4/28/2010,33.4,22.6,82,84,69,10
4/29/2010,33.3,20.7,33,82,69,3
4/30/2010,30.3,13.9,0,82,57,0
5/1/2010,27.5,11.1,0,61,31,16
5/2/2010,30.8,15.4,0,62,30,15
